ds,yhat,yhat_lower,yhat_upper
2025-03-13 05:00:00,4.571502723858666,1.8411299569386048,7.300122428915351
2025-03-13 06:00:00,4.469085184600328,1.5497195824704684,7.127024769198238
2025-03-13 07:00:00,4.440187166134508,1.4709000094629971,7.139191597231012
2025-03-13 08:00:00,4.454367286133289,1.8866689447535225,7.172110551627433
2025-03-13 09:00:00,4.47975764789236,1.750393239595875,7.567139084819243
2025-03-13 10:00:00,4.516061561072654,1.7074321366212788,7.368813282855108
2025-03-13 11:00:00,4.577179090656688,1.747047319995984,7.2599795654519825
2025-03-13 12:00:00,4.649560727832244,1.7220944258263027,7.461934100474148
2025-03-13 13:00:00,4.682350104762701,1.6551688952327575,7.443835963555236
2025-03-13 14:00:00,4.631396840833597,1.7171545346391637,7.439262851303494
2025-03-13 15:00:00,4.5164023682194685,1.751880151760564,7.164977612205525
2025-03-13 16:00:00,4.426596341586346,1.603601645634691,7.242615172530704
2025-03-13 17:00:00,4.455281456289872,1.6387237489833926,7.238279634970267
2025-03-13 18:00:00,4.615968319888204,1.7792337371696878,7.243090345005612
2025-03-13 19:00:00,4.8194083733105,1.9123812974259908,7.447230202984517
2025-03-13 20:00:00,4.940280394703279,2.2786957811479156,7.706754538557527
2025-03-13 21:00:00,4.919272212097558,2.4767385518520197,7.769387161410042
2025-03-13 22:00:00,4.810234928811855,2.119782998838527,7.593166586041747
2025-03-13 23:00:00,4.729738856621317,1.9709788998559057,7.787854439729668
2025-03-14 00:00:00,4.754587630648615,1.9436556811946062,7.422758713911413
2025-03-14 01:00:00,4.85903009088037,2.1568350643587904,7.683735383219382
2025-03-14 02:00:00,4.944749485954069,2.1794137571166763,7.731554390551442
2025-03-14 03:00:00,4.931053269354987,2.172376613568845,7.730204184051628
2025-03-14 04:00:00,4.821207019402848,1.964071220561661,7.413138520102948
